compound_id,status,pdbqt_size,note
DEC_4106,skipped,0,
DEC_1320,skipped,0,
DEC_2205,skipped,0,
DEC_2393,skipped,0,
DEC_1354,skipped,0,
DEC_0071,skipped,0,
DEC_1038,skipped,0,
DEC_2391,filtered,0,Aliphatic_long_chain
DEC_3314,skipped,0,
ACT_050,skipped,0,
DEC_2875,skipped,0,
DEC_1675,filtered,0,triple_bond
DEC_0011,skipped,0,
DEC_4699,skipped,0,
DEC_0259,skipped,0,
ACT_070,skipped,0,
DEC_1387,skipped,0,
DEC_3962,skipped,0,
DEC_1562,skipped,0,
DEC_1299,skipped,0,
DEC_3433,skipped,0,
DEC_3771,skipped,0,
DEC_4355,skipped,0,
DEC_1449,skipped,0,
DEC_1544,skipped,0,
DEC_4626,skipped,0,
DEC_3693,skipped,0,
DEC_1067,skipped,0,
DEC_0976,skipped,0,
DEC_1130,skipped,0,
DEC_1523,skipped,0,
DEC_2232,filtered,0,quinone_A(370)
DEC_0144,skipped,0,
DEC_4432,skipped,0,
DEC_1048,skipped,0,
DEC_1052,skipped,0,
DEC_0045,skipped,0,
DEC_0885,skipped,0,
DEC_3976,skipped,0,
DEC_3029,filtered,0,hydroxamic_acid
DEC_2755,skipped,0,
DEC_2580,skipped,0,
DEC_2577,skipped,0,
DEC_3085,filtered,0,Aliphatic_long_chain
DEC_1056,skipped,0,
DEC_2600,skipped,0,
DEC_4184,skipped,0,
DEC_0775,skipped,0,
DEC_3846,skipped,0,
DEC_1022,skipped,0,
DEC_2007,skipped,0,
DEC_4257,skipped,0,
DEC_1270,skipped,0,
DEC_2763,skipped,0,
DEC_3798,skipped,0,
DEC_3459,skipped,0,
DEC_2441,skipped,0,
DEC_0606,skipped,0,
DEC_3237,skipped,0,
DEC_2666,skipped,0,
DEC_3000,filtered,0,>_2_ester_groups
DEC_3565,skipped,0,
DEC_3390,skipped,0,
DEC_3723,skipped,0,
DEC_0129,skipped,0,
DEC_0266,skipped,0,
DEC_0706,skipped,0,
DEC_4253,skipped,0,
DEC_1101,skipped,0,
DEC_3446,filtered,0,amino_acridine_A(46)
DEC_1760,skipped,0,
DEC_4465,skipped,0,
DEC_3748,skipped,0,
DEC_1754,filtered,0,Aliphatic_long_chain
DEC_4279,skipped,0,
DEC_2208,skipped,0,
DEC_0801,skipped,0,
DEC_1380,skipped,0,
DEC_1489,skipped,0,
DEC_2396,skipped,0,
DEC_0040,skipped,0,
DEC_3380,skipped,0,
DEC_0210,skipped,0,
DEC_4126,skipped,0,
DEC_4162,skipped,0,
DEC_3581,skipped,0,
DEC_2285,filtered,0,charged_oxygen_or_sulfur_atoms
DEC_4142,skipped,0,
DEC_0739,skipped,0,
DEC_1490,skipped,0,
DEC_3573,skipped,0,
DEC_3319,filtered,0,Oxygen-nitrogen_single_bond
DEC_4065,skipped,0,
DEC_1577,skipped,0,
DEC_1551,skipped,0,
DEC_0773,skipped,0,
DEC_0622,skipped,0,
DEC_4114,skipped,0,
DEC_1627,skipped,0,
DEC_1023,skipped,0,
DEC_2916,skipped,0,
DEC_0232,skipped,0,
DEC_4376,skipped,0,
DEC_4696,skipped,0,
DEC_3163,skipped,0,
DEC_0249,skipped,0,
DEC_0034,skipped,0,
DEC_4742,skipped,0,
DEC_0107,skipped,0,
DEC_0869,skipped,0,
DEC_4158,skipped,0,
ACT_001,skipped,0,
DEC_0390,skipped,0,
DEC_4424,skipped,0,
ACT_021,skipped,0,
DEC_0797,skipped,0,
DEC_1734,skipped,0,
DEC_3546,skipped,0,
DEC_4671,skipped,0,
ACT_093,skipped,0,
DEC_3682,skipped,0,
DEC_4706,skipped,0,
DEC_2756,skipped,0,
DEC_2947,filtered,0,imine_1
DEC_1050,skipped,0,
DEC_3283,filtered,0,imine_1
DEC_4764,skipped,0,
DEC_2415,skipped,0,
DEC_4686,skipped,0,
DEC_3566,skipped,0,
DEC_2887,skipped,0,
DEC_2495,skipped,0,
DEC_3242,filtered,0,triple_bond
DEC_3133,skipped,0,
DEC_3961,skipped,0,
DEC_1471,skipped,0,
DEC_3512,skipped,0,
DEC_3888,skipped,0,
DEC_4094,skipped,0,
DEC_3985,skipped,0,
DEC_2108,filtered,0,Aliphatic_long_chain
DEC_3560,skipped,0,
DEC_2030,filtered,0,anil_di_alk_C(246)
DEC_4643,skipped,0,
DEC_3045,skipped,0,
DEC_0081,skipped,0,
DEC_1200,skipped,0,
DEC_3181,filtered,0,acyclic_C=C-O
DEC_1003,skipped,0,
DEC_1683,skipped,0,
DEC_3377,skipped,0,
DEC_1310,skipped,0,
DEC_2973,skipped,0,
DEC_0490,skipped,0,
DEC_2479,skipped,0,
DEC_2744,skipped,0,
DEC_3040,filtered,0,Aliphatic_long_chain
DEC_1024,skipped,0,
DEC_1668,skipped,0,
DEC_4087,skipped,0,
DEC_3348,filtered,0,thioester
DEC_2019,filtered,0,Thiocarbonyl_group
DEC_4717,skipped,0,
DEC_0573,skipped,0,
DEC_3032,skipped,0,
DEC_3532,skipped,0,
DEC_0064,skipped,0,
DEC_0139,skipped,0,
DEC_1403,skipped,0,
DEC_2350,filtered,0,mannich_A(296)
DEC_3598,skipped,0,
DEC_2423,filtered,0,hydroxamic_acid
DEC_0384,skipped,0,
DEC_4151,skipped,0,
DEC_1509,skipped,0,
DEC_2195,skipped,0,
